Stock_Number,Sale_Date,Inventory_Date,Make,Model,Year,Mileage,Store_Name,Stock_Type,Price,Front_Gross,Back_Gross
T3253366,1/1/2020,11/4/2019,KIA,SOUL,2020,63,Riverside Kia,New,20032,-1193.6,90.99
L1883675,1/1/2020,10/22/2019,KIA,STINGER,2020,53,Riverside Kia,New,41475,-2565.6,1608.4
K6575317,1/31/2020,12/14/2019,KIA,SOUL,2020,56,Riverside Kia,New,18262.07,-1963.53,734
N2851738,1/31/2020,12/28/2019,KIA,FORTE,2020,25,Riverside Kia,New,21495,-1948.6,100
L8924108,1/31/2020,11/30/2019,KIA,SOUL,2020,16,Riverside Kia,New,21930,-138.6,1057.82
T4815662,1/31/2020,1/4/2020,KIA,SOUL,2020,15,Riverside Kia,New,20576.85,-1871.75,2155.88
T5594485,1/31/2020,12/22/2019,KIA,SOUL,2020,58,Riverside Kia,New,21894.17,-213.43,2039.31
N7288305,1/31/2020,12/4/2019,KIA,SOUL,2020,87,Riverside Kia,New,19725,-1741.6,381
K1293488,1/30/2020,12/23/2019,KIA,SORENT,2020,74,Riverside Kia,New,33675,-2010.75,2526.67
S7645613,1/30/2020,12/19/2019,KIA,SOUL,2020,18,Riverside Kia,New,18170,-1962.6,0
K5689028,1/27/2020,12/28/2019,KIA,OPTIMA,2020,37,Riverside Kia,New,28700,-980.6,260
T7901631,1/25/2020,12/26/2019,KIA,SPORK,2020,81,Riverside Kia,New,30965,-1750.6,97.31
N3907035,1/25/2020,12/13/2019,KIA,SORENT,2020,30,Riverside Kia,New,41360,441.25,843
M1822828,1/24/2020,11/13/2019,KIA,TELLUR,2020,18,Riverside Kia,New,47095,2824.4,300
K1332601,1/24/2020,11/30/2019,KIA,SORENT,2020,92,Riverside Kia,New,33770,-2026.48,647.1
M6879748,1/23/2020,11/25/2019,KIA,TELLUR,2020,52,Riverside Kia,New,43600,2368.4,380
M8196110,1/23/2020,12/11/2019,KIA,SORENT,2020,69,Riverside Kia,New,37393.14,-420.25,0
K5651474,1/23/2020,1/1/2020,KIA,SPORK,2020,50,Riverside Kia,New,37040,-519.6,100
S4452820,1/20/2020,12/10/2019,KIA,OPTIMA,2020,59,Riverside Kia,New,32100,531,4718.53
L9429257,1/20/2020,11/9/2019,KIA,RIO,2020,98,Riverside Kia,New,14953,-1813.6,606
K2417514,1/20/2020,12/30/2019,KIA,OPTIMA,2020,78,Riverside Kia,New,23095,-1295.6,2622
L2164390,1/18/2020,12/6/2019,KIA,TELLUR,2020,78,Riverside Kia,New,47705.38,2093.78,2500.16
N1063666,1/18/2020,11/16/2019,KIA,FORTE,2020,96,Riverside Kia,New,19555,-2221.6,250
N1715228,1/17/2020,11/29/2019,KIA,OPTIMA,2020,72,Riverside Kia,New,30790,-780.94,1391.59
N8564255,1/17/2020,11/21/2019,KIA,OPTIMA,2020,82,Riverside Kia,New,23285,-1032.6,1209.5
S8421963,1/17/2020,12/27/2019,KIA,SOUL,2020,16,Riverside Kia,New,18495,-2268.6,2528.72
N8602633,1/16/2020,12/7/2019,KIA,TELLUR,2020,58,Riverside Kia,New,35770,827.4,200
L1687351,1/16/2020,11/25/2019,KIA,TELLUR,2020,68,Riverside Kia,New,45395,2435.4,2700
K8907375,1/15/2020,12/15/2019,KIA,SOUL,2020,51,Riverside Kia,New,19190,-2229.6,122.85
S7866380,1/14/2020,12/4/2019,KIA,TELLUR,2020,41,Riverside Kia,New,44490,2582,2595.08
M1768211,1/14/2020,11/12/2019,KIA,SORENT,2020,78,Riverside Kia,New,32890,-571.6,1318.78
L2314736,1/14/2020,12/1/2019,KIA,FORTE,2020,45,Riverside Kia,New,20038,-1866.6,681.98
T4464593,1/11/2020,11/4/2019,KIA,OPTIMA,2020,31,Riverside Kia,New,22656.24,-2275.36,0
T4348128,1/11/2020,11/26/2019,KIA,RIO,2020,46,Riverside Kia,New,14543.61,-2694.99,0
T1782674,1/11/2020,11/11/2019,KIA,RIO,2020,80,Riverside Kia,New,15541.81,-2317.79,150
L5521899,1/11/2020,11/25/2019,KIA,SPORK,2020,90,Riverside Kia,New,22431,-2712.6,935.42
L3107529,1/11/2020,12/7/2019,KIA,SPORK,2020,72,Riverside Kia,New,32895,-2331.6,1010.02
T4705694,1/10/2020,12/7/2019,KIA,NIRO,2020,33,Riverside Kia,New,25875,-1263.6,1500
K1696987,1/10/2020,11/5/2019,KIA,FORTE,2020,40,Riverside Kia,New,16230,-2497.33,309.35
L3092823,1/10/2020,11/1/2019,KIA,SOUL,2020,61,Riverside Kia,New,23185,-797.6,1758
K9440052,1/9/2020,11/7/2019,KIA,OPTIMA,2020,82,Riverside Kia,New,28995,-1824.6,722.61
S9062856,1/9/2020,10/27/2019,KIA,SOUL,2020,16,Riverside Kia,New,23465,-20.6,2862.49
M1180513,1/9/2020,10/30/2019,KIA,FORTE,2020,49,Riverside Kia,New,23245,-1778.45,512.43
L8450618,1/8/2020,12/17/2019,KIA,FORTE,2020,24,Riverside Kia,New,19095,-925.6,857.17
M7577283,1/8/2020,11/13/2019,KIA,SOUL,2020,49,Riverside Kia,New,18485,-2303.6,411.75
K8732865,1/8/2020,10/30/2019,KIA,SOUL,2020,27,Riverside Kia,New,23440,1680.4,2407
T3918375,1/6/2020,12/11/2019,KIA,SPORK,2020,66,Riverside Kia,New,30860,-1997.6,250
L5609310,1/6/2020,11/27/2019,KIA,SPORK,2020,90,Riverside Kia,New,23363.24,-1780.36,1859
M3872420,1/4/2020,12/7/2019,KIA,SORENT,2020,38,Riverside Kia,New,35280,-716.6,357.25
K6027589,1/3/2020,11/6/2019,KIA,SORENT,2020,25,Riverside Kia,New,33890,-2000.6,628
L5697811,1/3/2020,11/27/2019,KIA,RIO,2020,55,Riverside Kia,New,14138.68,-3347.92,631.3
T5517928,1/2/2020,12/10/2019,KIA,FORTE,2020,13,Riverside Kia,New,17830,-2735.6,556
T1961421,1/2/2020,11/19/2019,KIA,SPORK,2020,78,Riverside Kia,New,33224.47,-972.55,1210
N2671595,1/1/2020,11/29/2019,KIA,FORTE,2020,14,Riverside Kia,New,20335,-2170.5,3236.88
M8121758,1/1/2020,10/24/2019,KIA,SORENT,2020,56,Riverside Kia,New,30213.52,-1899.08,2551.92
K2753220,1/31/2020,1/3/2020,KIA,FORTE,2020,55969,Riverside Kia,Used,9278,0,2656.07
T1398362,1/29/2020,12/15/2019,KIA,SOUL,2020,29411,Riverside Kia,Used,14775,3084.98,0
M1105773,1/28/2020,11/17/2019,KIA,SORENT,2020,37361,Riverside Kia,Used,14801.87,2143.71,0
K5357217,1/27/2020,1/6/2020,KIA,OPTIMA,2020,46968,Riverside Kia,Used,14306,-1104.54,935
T1293832,1/25/2020,12/17/2019,TOYOTA,FJCR,2020,56633,Riverside Kia,Used,31471.78,2374.1,0
L3039892,1/24/2020,12/8/2019,KIA,SEDONA,2020,34812,Riverside Kia,Used,22109.76,2035.78,3251.4
K6390319,1/22/2020,11/17/2019,KIA,SEDONA,2020,39215,Riverside Kia,Used,8192,3632.38,0
T4322850,1/21/2020,12/26/2019,FORD,FOCUS,2020,25404,Riverside Kia,Used,12251,-2290.64,0
K4818253,1/21/2020,11/19/2019,CHEVROLET,TAHO,2020,24056,Riverside Kia,Used,14530.1,722.29,0
M2840924,1/21/2020,12/25/2019,KIA,SOUL,2020,54187,Riverside Kia,Used,14657.3,-1115.09,2177.65
T3236022,1/20/2020,11/15/2019,KIA,OPTIMA,2020,62343,Riverside Kia,Used,9043.62,1929.51,0
L7725977,1/18/2020,11/25/2019,KIA,FORTE,2020,40919,Riverside Kia,Used,12242.87,986.76,1412.29
T4482104,1/17/2020,12/15/2019,KIA,SOUL,2020,57052,Riverside Kia,Used,13874.55,1468.48,0
L5182776,1/17/2020,12/12/2019,KIA,OPTIMA,2020,47424,Riverside Kia,Used,13759,-1552.75,0
M5029157,1/15/2020,11/21/2019,CHEVROLET,CAMAC,2020,32323,Riverside Kia,Used,15000,-3380.01,0
N6167732,1/14/2020,11/6/2019,KIA,SOUL,2020,47420,Riverside Kia,Used,18461,584.86,756.4
K5371871,1/13/2020,11/15/2019,KIA,SOUL,2020,65070,Riverside Kia,Used,11698.41,996.85,894.54
S7065254,1/13/2020,12/21/2019,HONDA,ODYS,2020,41462,Riverside Kia,Used,23509.64,903.16,830.85
